Name,Mass,Head Armor,Head Passthrough,Head Simulation,Neck Armor,Neck Passthrough,Neck Simulation,Chest Armor,Chest Passthrough,Chest Simulation,Body Armor,Body Passthrough,Body Simulation,Diaphragm Armor,Diaphragm Passthrough,Diaphragm Simulation,Abdomen Armor,Abdomen Passthrough,Abdomen Simulation,AllowedSlots,II_GeneralMacro,ModelSides,IIType,AllowedFacewear,_GeneralMacro,DescriptionShort,Type,Access,Value
6B23 TTsKO Mountain (NCO),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Mountain (Officer),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Mountain (Rifleman),75,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Mountain (Sniper),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
Kaska K93,40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
Kaska K93 TTsKO (Digital),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['rhs_scarf', 'G_Balaclava_blk']",H_HelmetB,Armor Level II,131072,3,2
Kaska K93 TTsKO (Forest),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
Kaska K93 TTsKO (Mountain),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
Kaska K93 TTsKO (Urban),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
ALICE Webbing,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[],VestItem,[],701,[],Vest_Camo_Base,No Armor,131072,3,2
Baseball Cap (Spectre-SKWO),4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,"['G_Aviator', 'G_Balaclava_blk', 'G_Balaclava_oli', 'G_Bandanna_aviator', 'G_Bandanna_beast', 'G_Bandanna_blk', 'G_Bandanna_khk', 'G_Bandanna_oli', 'G_Bandanna_shades', 'G_Bandanna_sport', 'G_Bandanna_tan', 'G_Shades_Black', 'G_Shades_Blue', 'G_Shades_Red', 'G_Shades_Green']",H_Cap_red,No Armor,131072,3,2
Chest Rig (Light),15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[],VestItem,[],701,[],Vest_Camo_Base,No Armor,131072,3,2
Chicom Chest Rig,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[],VestItem,[],701,[],Vest_Camo_Base,No Armor,131072,3,2
Chicom Chest Rig (M88),15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[],VestItem,[],701,[],Vest_Camo_Base,No Armor,131072,3,2
M1941 Wool Cap,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
Patrol Cap (OG-107),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M43 Cap,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M43 Cap (Tilted),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M40,40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M40 (Strap Up),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M40 (Painted),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M40 (Strap Up/Painted),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M40 (Heer Decal),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M40 (Winter),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M40 (Strap Up/Winter),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M42,40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M42 (Strap Up),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M42 (Painted),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M42 (Strap Up/Painted),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M42 (Heer Decal),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M42 Covered (Mouse Grey),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M42 Covered (Sumpf 44),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M42 Covered (Splitter 31),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M42 Covered (Winter),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M42 (Winter),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M42 (Strap Up/Winter),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M1 (OG-107),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M1 (OG-107/Alt.),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M1 (Desert),42,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M1 (ERDL),42,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M1 (Liner),40,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M1 (Mitchell),42,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M1 (Painted),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
M1 (Painted/Alt.),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
PASGT (3-Color Desert),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
"PASGT (3-Color Desert, Rhino)",40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,"[3, 1]",605,[],H_HelmetB,Armor Level II,131072,3,2
PASGT (Altis Lizard),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
PASGT (ERDL),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
"PASGT (ERDL, Rhino)",30,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,"[3, 1]",605,[],H_HelmetB,Armor Level II,131072,3,2
PASGT (Flecktarn),30,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,"[3, 1]",605,[],H_HelmetB,Armor Level II,131072,3,2
PASGT (Olive),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
PASGT (Press),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
PASGT (UN),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
PASGT (Woodland),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,[],H_HelmetB,Armor Level II,131072,3,2
"PASGT (Woodland, Rhino)",40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,"[3, 1]",605,[],H_HelmetB,Armor Level II,131072,3,2
M56,40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
OTV (Digital),70,0,0,0,0,0.9,0,22,0.2,0,0,0.5,0,22,0.2,0,3,0.6,0,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
OTV (Khaki),70,0,0,0,0,0.9,0,22,0.2,0,0,0.5,0,22,0.2,0,3,0.6,0,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
SSh-68 TTsKO,40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
SSh-68 EMR-Summer,40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
SSh-68 TTsKO (Urban),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
SSh-68 TTsKO (Digital),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
SSh-68 TTsKO (Fall),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
SSh-68 TTsKO (Forest),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
SSh-68 TTsKO (Mountain),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
SSh-68 TTsKO (Summer),40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
SSh-68 UN,40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
SSh-68 VSR,40,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,"[3, 1]",605,"['G_Squares_Tinted', 'G_Aviator']",H_HelmetB,Armor Level II,131072,3,2
Tactical Vest (ERDL),40,0,0,0,0,0.9,0,8,0.5,0,0,0.5,0,8,0.5,0,3,0.6,0,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
PBB M-98,60,0,0,0,8,0.5,0,22,0.2,0,0,0.2,0,22,0.2,0,22,0.2,0,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level III,131072,3,2
Bandana (Digital),8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 701, 605]",HeadgearItem,[6],605,"['', 6, 'G_Aviator', 1, 'G_Bandanna_aviator', 1, 'G_Bandanna_beast', 1, 'G_Bandanna_blk', 1, 'G_Bandanna_khk', 1, 'G_Bandanna_oli', 1, 'G_Bandanna_shades', 1, 'G_Bandanna_sport', 1, 'G_Shades_Black', 1, 'G_Shades_Blue', 1, 'G_Shades_Red', 1, 'G_Shades_Green', 1]",H_Bandanna_khk,No Armor,131072,3,2
Bandana (Digital/Desert),8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 701, 605]",HeadgearItem,[6],605,"['', 6, 'G_Aviator', 1, 'G_Bandanna_aviator', 1, 'G_Bandanna_beast', 1, 'G_Bandanna_blk', 1, 'G_Bandanna_khk', 1, 'G_Bandanna_oli', 1, 'G_Bandanna_shades', 1, 'G_Bandanna_sport', 1, 'G_Shades_Black', 1, 'G_Shades_Blue', 1, 'G_Shades_Red', 1, 'G_Shades_Green', 1]",H_Bandanna_khk,No Armor,131072,3,2
Bandana (MDU02),8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 701, 605]",HeadgearItem,[6],605,"['', 6, 'G_Aviator', 1, 'G_Bandanna_aviator', 1, 'G_Bandanna_beast', 1, 'G_Bandanna_blk', 1, 'G_Bandanna_khk', 1, 'G_Bandanna_oli', 1, 'G_Bandanna_shades', 1, 'G_Bandanna_sport', 1, 'G_Shades_Black', 1, 'G_Shades_Blue', 1, 'G_Shades_Red', 1, 'G_Shades_Green', 1]",H_Bandanna_khk,No Armor,131072,3,2
Bandana (Oakleaf),8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 701, 605]",HeadgearItem,[6],605,"['', 6, 'G_Aviator', 1, 'G_Bandanna_aviator', 1, 'G_Bandanna_beast', 1, 'G_Bandanna_blk', 1, 'G_Bandanna_khk', 1, 'G_Bandanna_oli', 1, 'G_Bandanna_shades', 1, 'G_Bandanna_sport', 1, 'G_Shades_Black', 1, 'G_Shades_Blue', 1, 'G_Shades_Red', 1, 'G_Shades_Green', 1]",H_Bandanna_khk,No Armor,131072,3,2
Bandana (SMB),8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 701, 605]",HeadgearItem,[6],605,"['', 6, 'G_Aviator', 1, 'G_Bandanna_aviator', 1, 'G_Bandanna_beast', 1, 'G_Bandanna_blk', 1, 'G_Bandanna_khk', 1, 'G_Bandanna_oli', 1, 'G_Bandanna_shades', 1, 'G_Bandanna_sport', 1, 'G_Shades_Black', 1, 'G_Shades_Blue', 1, 'G_Shades_Red', 1, 'G_Shades_Green', 1]",H_Bandanna_khk,No Armor,131072,3,2
Beret (MP),6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level I,131072,3,2
Beret (UN),6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level I,131072,3,2
Beret (Army),6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level I,131072,3,2
Beret (Airborne),6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level I,131072,3,2
Beret (Recon),6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[801, 901, 701, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level I,131072,3,2
M59/85,42,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level I,131072,3,2
M59/85,42,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level I,131072,3,2
M59/85 (Oakleaf),42,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level I,131072,3,2
M97 (Black),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level IIIA,131072,3,2
M97 (Black/Black ESS),42,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level IIIA,131072,3,2
M97 (Black/Black ESS/Bare),42,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level IIIA,131072,3,2
M97 (Digital),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level IIIA,131072,3,2
M97 (Digital/Black ESS),42,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level IIIA,131072,3,2
M97 (Digital/Black ESS/Bare),42,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level IIIA,131072,3,2
M97 (MDU02),40,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level IIIA,131072,3,2
M97 (MDU02/Black ESS),42,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level IIIA,131072,3,2
M97 (MDU02/Black ESS/Bare),42,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[901, 605]",HeadgearItem,[6],605,"['rhs_scarf', 'G_Aviator']",H_HelmetB,Armor Level IIIA,131072,3,2
