x,x,Name,Cartridge,Capacity,Damage,Fire Modes,RPM,Dispersion,Initial Speed,Typical Speed,weaponInitialSpeed,Air Resistance,Penetration,Damage at 100m,Damage at 200m,Damage at 300m,Damage at 400m,Damage at 500m,Damage at 1000m,Damage at 1500m,Damage at 2000m,Unlock LevelWeapon Class,Magazine Class,Caliber
X,X,Mosin SBR,7.62x54r,5,"=""10.261""",Single,"=""037.50""","=""0.0005818""","=""740.7""","=""828""","=""-0.9""","=""-0.0010922""","=""4.24|22.60|70.62""","=""9.199""","=""8.247""","=""7.394""","=""6.629""",5.943,3.442,1.994,1.155,X,rhs_weap_mosin_sbr,rhsgref_5rnd_762x54_m38 = 5rnd 7.62x54Rmm clip,0.341151
X,X,MP44,7.62,30,"=""7.500""",Single\Fullauto,"=""580.00""","=""0.0013090""","=""685""","=""685""","=""0""","=""-0.00101""","=""4.52|24.11|75.35""","=""6.779""","=""6.128""","=""5.539""","=""5.007""",4.526,2.732,1.649,0.995,X,rhs_weap_mp44,rhsgref_30rnd_792x33_sme_stg = 30Rnd 7.92x33 S.m.E.,0.44
X,X,Sa vz. 61,9mm,20,"=""5.219""",Single\Fullauto,"=""800.00""","=""0.0029090""","=""280""","=""272""","=""280""","=""-0.00176715""","=""3.42|18.23|56.98""","=""4.374""","=""3.665""","=""3.072""","=""2.574""",2.157,0.892,0.368,0.152,X,rhs_weap_savz61,rhsgref_20rnd_765x17_vz61 = 20rnd Scorpion 7.65x17mm,0.838
X,X,SCAR-H (STD),M80 Ball,20,"=""10.944""",Single\Fullauto,"=""800.00""","=""0.0008727""","=""794""","=""838""","=""-1""","=""-0.0006814""","=""5.66|30.17|94.28""","=""10.223""","=""9.549""","=""8.920""","=""8.333""",7.784,5.536,3.938,2.801,X,rhs_weap_scarh_std,rhs_mag_20rnd_scar_762x51_m80_ball = 20rnd SCAR M80,0.45
X,X,Mk 11 Mod 0,M118 Ball,20,"=""11.550""",Single,"=""625.00""","=""0.0002800""","=""805""","=""805""","=""0""","=""-0.0007474""","=""6.28|33.49|104.65""","=""10.718""","=""9.946""","=""9.230""","=""8.565""",7.949,5.470,3.764,2.591,X,rhs_weap_sr25,rhsusf_20rnd_762x51_m118_special_mag = 20rnd M14 M118,0.52
X,X,Type 94 Nambu,9mm,6,"=""3.313""",Single,"=""060.00""","=""0.0200000""","=""280""","=""290""","=""-1""","=""-0.0018""","=""2.32|12.37|38.67""","=""2.767""","=""2.311""","=""1.931""","=""1.613""",1.347,0.548,0.223,0.091,X,rhs_weap_type94_new,rhs_mag_6x8mm_mhp = 6Rnd Type 94 Nambu 8x22mm,0.533333
X,X,M2010 ESR,.300 Win Mag,5,"=""18.500""",Single,"=""037.50""","=""0.0002909""","=""869""","=""869""","=""0""","=""-0.0007034""","=""10.30|54.92|171.63""","=""17.243""","=""16.072""","=""14.981""","=""13.963""",13.015,9.156,6.441,4.531,X,rhs_weap_xm2010,rhsusf_5rnd_300winmag_xm2010 = 5rnd .300WM Mk248 MOD 1,0.79
X,X,Glock 17,9mm JHP Mag,17,"=""6.248""",Single,"=""461.54""","=""0.0200000""","=""271.62""","=""301.8""","=""-0.9""","=""-0.001095""","=""1.88|10.02|31.31""","=""5.600""","=""5.019""","=""4.499""","=""4.032""",3.614,2.090,1.209,0.699,X,rhsusf_weap_glock17g4,rhsusf_mag_17rnd_9x19_jhp = 17rnd Glock Mk243 JHP,0.415
X,X,M1911A1,9mm,7,"=""5.147""",Single,"=""461.54""","=""0.0200000""","=""280""","=""280""","=""-1""","=""-0.0018""","=""11.26|60.05|187.67""","=""4.299""","=""3.591""","=""2.999""","=""2.505""",2.093,0.851,0.346,0.141,X,rhsusf_weap_m1911a1,rhsusf_mag_7x45acp_mhp = 7rnd M1911 HP,2.68097
X,X,M9 Beretta,9mm JHP Mag,15,"=""6.596""",Single,"=""461.54""","=""0.0200000""","=""286.71""","=""301.8""","=""-0.95""","=""-0.001095""","=""1.88|10.02|31.31""","=""5.911""","=""5.298""","=""4.749""","=""4.256""",3.815,2.206,1.276,0.738,X,rhsusf_weap_m9,rhsusf_mag_15rnd_9x19_jhp = 15rnd M9 Mk243 JHP,0.415
X,X,MP7A2,9mm,40,"=""6.556""",Single\Fullauto,"=""950.00""","=""0.0020300""","=""620""","=""699.821""","=""-1""","=""-0.00348301""","=""4.87|25.98|81.18""","=""4.628""","=""3.267""","=""2.306""","=""1.628""",1.149,0.201,0.035,0.006,X,rhsusf_weap_mp7a2,rhsusf_mag_40rnd_46x30_jhp = 40rnd MP7 SX JHP,0.464
