Name,Cartridge,Capacity,Damage,Indirect Damage,Indirect Range,Submunition Damage,Submunition Indirect Damage,Submunition Indirect Range,Sub-Submunition,Submunition Cone,Warhead,Fire Modes,reloadTime,Dispersion,Initial Speed,Typical Speed,weaponInitialSpeed,Air Resistance,Side Air Reistance,Control Range,RHS Guide Mode,Penetration,Submunition Penetration,Thrust,Thrust Time,Max speed,Manoeuvrability,Track Oversteer,Track Lead,Control Offset,Control Cone,Flight Profiles,Weapon Class,Magazine Class,Caliber,Submunition Caliber
PKT,7.62x54mm,2000,11.47,0,0,,,,,,,manual,0.075,0.00125,855,828,0,-0.0010922,1,350,,4.24|22.60|70.62,,210,1.5,0,1,1,1,,,,rhs_weap_pkt_bmd_coax,rhs_mag_762x54mm_2000,0.341151,
2A72,3UOF8,150,50,33,4,,,,,,HE,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.181818\0.181818\0.181818\0.2\0.2,0.000714286\0.000714286\0.000714286\0.000714286\0.000714286\0.000714286,960,960,0,-0.0002,1,350,,20.02|106.75|333.60,,210,1.5,0,1,1,1,,,,rhs_weap_2a72_btr,rhs_mag_3uof8_150,1.39,
2A72,3UBR11,150,95,0,0,,,,,,AP,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.181818\0.181818\0.181818\0.2\0.2,0.000714286\0.000714286\0.000714286\0.000714286\0.000714286\0.000714286,1120,1120,0,-0.00056,1,350,,92.00|490.67|1533.33,,210,1.5,0,1,1,1,,,,rhs_weap_2a72_btr,rhs_mag_3ubr11_150,5.47619,
PKT,7.62x54mm,2000,11.47,0,0,,,,,,,manual,0.075,0.00125,855,828,0,-0.0010922,1,350,,4.24|22.60|70.62,,210,1.5,0,1,1,1,,,,rhs_weap_pkt_btr80a,rhs_mag_762x54mm_2000,0.341151,
2A70,9M117M,8,240,20,4.2,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",TandemHEAT,player,5.5,0.00275,80,300,0,0.035,0.1,5500,BEAMRIDER,4.50|24.00|75.00,['585.00|3120.00|9749.99'],222,7,380,17,0.3,1,,20,['Direct'],rhs_weap_2a70,rhs_mag_9m117m_8,1,[43.3333]
2A72,3UOF8,237,50,33,4,,,,,,HE,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.181818\0.181818\0.181818\0.2\0.2,0.000714286\0.000714286\0.000714286\0.000714286\0.000714286\0.000714286,960,960,0,-0.0002,1,350,,20.02|106.75|333.60,,210,1.5,0,1,1,1,,,,rhs_weap_2a72,rhs_mag_3uof8_237,1.39,
2A72,3UBR11,227,95,0,0,,,,,,AP,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.181818\0.181818\0.181818\0.2\0.2,0.000714286\0.000714286\0.000714286\0.000714286\0.000714286\0.000714286,1120,1120,0,-0.00056,1,350,,92.00|490.67|1533.33,,210,1.5,0,1,1,1,,,,rhs_weap_2a72,rhs_mag_3ubr11_227,5.47619,
2A46M,3BM42,7,250,40,0.5,[250],[11],[0.35],rhs_ammo_spall,"['randomcenter', 30]",AP,player,6,0.00057,1700,1700,0,-3.96e-05,1,350,,2.55|13.60|42.50,['0.00|00.00|00.00'],210,1.5,0,1,1,1,,,,rhs_weap_2a46m,rhs_mag_3bm42_7,0.1,[19.2157]
2A46M,3BK18M,6,215,20,3.6,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HEAT,player,6,0.00057,905,905,0,-3.96e-05,1,350,,6.79|36.20|113.12,['495.00|2640.00|8250.01'],210,1.5,0,1,1,1,,,,rhs_weap_2a46m,rhs_mag_3bk18m_6,0.5,[36.6667]
2A46M,3OF26,5,200,100,15,,,,,,HE,player,6,0.00057,850,850,0,-0.0002,1,350,,63.75|340.00|1062.50,,210,1.5,0,1,1,1,,,,rhs_weap_2a46m,rhs_mag_3of26_5,5,
2A46M,9M119,4,240,20,4.2,[250],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,player,6,0.00057,125,120,0,0.085,0.1,5000,BEAMRIDER,1.80|09.60|30.00,['630.00|3360.00|10500.01'],112,6,420,9,0.3,0.3,,50,['Direct'],rhs_weap_2a46m,rhs_mag_9m119_4,1,[46.6667]
NSVT,12.7x108mm,50,25,0,0,,,,,,,manual,0.086,0.002,817,820,0,-0.00086,1,350,,34.44|183.68|574.00,,210,1.5,0,1,1,1,,,,rhs_weap_nsvt_t72,rhs_mag_127x108mm_50,2.8,
2A46-2,3BM22,14,250,40,0.5,[200],[11],[0.35],rhs_ammo_spall,"['randomcenter', 30]",AP,player,6,0.00057,1760,1700,0,-3.96e-05,1,350,,2.55|13.60|42.50,['0.00|00.00|00.00'],210,1.5,0,1,1,1,,,,rhs_weap_2a46_2,rhs_mag_3bm22_14,0.1,[14.3939]
2A46-2,3BK18M,8,215,20,3.6,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HEAT,player,6,0.00057,905,905,0,-3.96e-05,1,350,,6.79|36.20|113.12,['495.00|2640.00|8250.01'],210,1.5,0,1,1,1,,,,rhs_weap_2a46_2,rhs_mag_3bk18m_8,0.5,[36.6667]
2A46-2,3OF26,6,200,100,15,,,,,,HE,player,6,0.00057,850,850,0,-0.0002,1,350,,63.75|340.00|1062.50,,210,1.5,0,1,1,1,,,,rhs_weap_2a46_2,rhs_mag_3of26_6,5,
2A46M-4,3BM46,10,250,40,0.5,[300],[11],[0.35],rhs_ammo_spall,"['randomcenter', 30]",AP,player,6,0.00057,1700,1700,0,-3.96e-05,1,350,,2.55|13.60|42.50,['0.00|00.00|00.00'],210,1.5,0,1,1,1,,,,rhs_weap_2a46m_4,rhs_mag_3bm46_10,0.1,[26.7059]
2A46M-4,3BK31,8,235,20,3.6,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",TandemHEAT,player,6,0.00057,905,915,0,-3.96e-05,1,350,,6.86|36.60|114.38,['765.00|4080.00|12750.01'],210,1.5,0,1,1,1,,,,rhs_weap_2a46m_4,rhs_mag_3bk31_8,0.5,[56.6667]
2A46M-4,3OF26,6,200,100,15,,,,,,HE,player,6,0.00057,850,850,0,-0.0002,1,350,,63.75|340.00|1062.50,,210,1.5,0,1,1,1,,,,rhs_weap_2a46m_4,rhs_mag_3of26_6,5,
2A46M-4,9M119,4,240,20,4.2,[250],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,player,6,0.00057,125,120,0,0.085,0.1,5000,BEAMRIDER,1.80|09.60|30.00,['630.00|3360.00|10500.01'],112,6,420,9,0.3,0.3,,50,['Direct'],rhs_weap_2a46m_4,rhs_mag_9m119_4,1,[46.6667]
2A46M-5,3BM46,8,250,40,0.5,[300],[11],[0.35],rhs_ammo_spall,"['randomcenter', 30]",AP,player,6,0.00057,1700,1700,0,-3.96e-05,1,350,,2.55|13.60|42.50,['0.00|00.00|00.00'],210,1.5,0,1,1,1,,,,rhs_weap_2a46m_5,rhs_mag_3bm46_8,0.1,[26.7059]
2A46M-5,3BK31,3,235,20,3.6,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",TandemHEAT,player,6,0.00057,905,915,0,-3.96e-05,1,350,,6.86|36.60|114.38,['765.00|4080.00|12750.01'],210,1.5,0,1,1,1,,,,rhs_weap_2a46m_5,rhs_mag_3bk31_3,0.5,[56.6667]
2A46M-5,3OF26,7,200,100,15,,,,,,HE,player,6,0.00057,850,850,0,-0.0002,1,350,,63.75|340.00|1062.50,,210,1.5,0,1,1,1,,,,rhs_weap_2a46m_5,rhs_mag_3of26_7,5,
2A46M-5,9M119,4,240,20,4.2,[250],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,player,6,0.00057,125,120,0,0.085,0.1,5000,BEAMRIDER,1.80|09.60|30.00,['630.00|3360.00|10500.01'],112,6,420,9,0.3,0.3,,50,['Direct'],rhs_weap_2a46m_5,rhs_mag_9m119_4,1,[46.6667]
YakBYu,1SLT 12.7x108mm,1470,25,0,8,"[25, 25]","[0, 0]","[0, 0]",,,,manual,0.03,0.009,735,900,0,-0.0009,1,350,,13.50|72.00|225.00,"['34.44|183.68|574.00', '34.44|183.68|574.00']",210,1.5,0,1,1,1,,,,rhs_weap_yakb,rhs_mag_127x108mm_1slt_1470,1,"[2.8, 2.8]"
GSh-30-2K,OFZT-30-Gsh,750,50,33,4,,,,,,HE,manual\manual_low,0.025\0.2,0.006\0.006,817,960,0,-0.0002,1,350,,20.02|106.75|333.60,,210,1.5,0,1,1,1,,,,rhs_weap_gsh30,rhs_mag_gsh30_ofzt_750,1.39,
S8,S-8 KOM,20,400,60,15,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 5]",HE,ai_burst\burst,0.2\0.08,0.032\0.032,44,900,0,0.09,0.003,0,,13.50|72.00|225.00,['360.00|1920.00|6000.01'],1060,0.69,590,0,1,1,,,,rhs_weap_s8,rhs_mag_b8m1_s8kom,1,[26.6667]
FAB-250,HE,1,5000,1140,15,,,,,,,,,,0,900,0,0.06,0.12,100000,,13.50|72.00|225.00,,0,0,100,10,1,0.95,,,['Direct'],rhs_weap_fab250,rhs_mag_fab250,1,
9M120,9M120M,2,350,26,4.6,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,,,,55,115,0,-2e-05,0.3,8000,RADIO,1.72|09.20|28.75,['855.00|4560.00|14249.99'],172,3.5,550,13,1,0,,50,['Direct'],rhs_weap_9m120_launcher,rhs_mag_9m120m_mi24_2x,1,[63.3333]
S8,S-8 DF,20,210,85,20,,,,,,HE,ai_burst\burst,0.2\0.08,0.032\0.032,44,900,0,0.09,0.003,0,,13.50|72.00|225.00,,1060,0.69,590,0,1,1,,,,rhs_weap_s8df,rhs_mag_b8m1_s8df,1,
GI-2,HEI,420,20,4,6.9,,,,,,HE,manual,0.06,0.0085,1050,1100,0,-0.00077,1,350,,23.10|123.20|385.00,,210,1.5,0,1,1,1,,,,rhs_weap_gi2,rhs_mag_gi2_420_he,1.4,
GI-2,APC,420,60,1,0.3,,,,,,HE,manual,0.06,0.0085,1100,1050,0,-0.00077,1,350,,46.00|245.33|766.67,,210,1.5,0,1,1,1,,,,rhs_weap_gi2,rhs_mag_gi2_420_ap,2.92063,
2A42,3UBR11,125,95,0,0,,,,,,AP,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.1\0.1\0.1\0.2\0.2,0.0009375\0.00325\0.00325\0.00325\0.0009375\0.0009375,1120,1120,0,-0.00056,1,350,,92.00|490.67|1533.33,,210,1.5,0,1,1,1,,,,rhs_weap_2a42,rhs_mag_3ubr11_125,5.47619,
2A42,3UOF8,125,50,33,4,,,,,,HE,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.1\0.1\0.1\0.2\0.2,0.0009375\0.00325\0.00325\0.00325\0.0009375\0.0009375,960,960,0,-0.0002,1,350,,20.02|106.75|333.60,,210,1.5,0,1,1,1,,,,rhs_weap_2a42,rhs_mag_3uof8_125,1.39,
9K121M,9M127M,6,350,86,9.6,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,single\burst,0.05\0.05,0.002\0.002,0,115,0,0.075,0.3,10000,BEAMRIDER,1.72|09.20|28.75,['945.00|5040.00|15750.00'],342,3,600,16,1,1,,50,['Direct'],rhs_weap_9k121_launcher,rhs_mag_apu6_9m127m_ka52,1,[70]
S8,S-8 KOM,20,400,60,15,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 5]",HE,ai_burst\burst,0.2\0.08,0.032\0.032,44,900,0,0.09,0.003,0,,13.50|72.00|225.00,['360.00|1920.00|6000.01'],1060,0.69,590,0,1,1,,,,rhs_weap_s8,rhs_mag_b8v20a_ka52_s8kom,1,[26.6667]
GSh-23L,Mixed,250,60,40,1.8,"[80, 60]","[1, 40]","[0.3, 1.8]",,,,manual,0.01875,0.0035,720,960,0,-0.000471,1,350,,14.40|76.80|240.00,"['61.46|327.81|1024.39', '15.98|85.25|266.40']",210,1.5,0,1,1,1,,,,rhs_weap_gsh23l,rhs_mag_upk23_mixed,1,"[3.65854, 1.11]"
GSh-30-2,BT-30-GSh,250,90,0,0,,,,,,AP,manual,0.02,0.003,1120,1120,0,-0.00056,1,350,,66.00|352.00|1100.00,,210,1.5,0,1,1,1,,,,rhs_weap_gsh302,rhs_mag_gsh30_bt_250,3.92857,
S13,S-13B,5,470,240,10,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 5]",HE,ai_burst\burst,0.15\0.15,0.02\0.02,44,900,0,0.09,0.001,0,,13.50|72.00|225.00,['360.00|1920.00|6000.01'],1060,0.6,590,0,1,1,,,,rhs_weap_s13,rhs_mag_b13l_s13b,1,[26.6667]
S13,S-13T,5,470,30,7,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 5]",HE,ai_burst\burst,0.15\0.15,0.02\0.02,44,900,0,0.09,0.001,0,,13.50|72.00|225.00,['540.00|2880.00|9000.00'],1060,0.6,590,0,1,1,,,,rhs_weap_s13,rhs_mag_b13l_s13t,1,[40]
9M120,9M120M,8,350,26,4.6,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,,,,55,115,0,-2e-05,0.3,8000,RADIO,1.72|09.20|28.75,['855.00|4560.00|14249.99'],172,3.5,550,13,1,0,,50,['Direct'],rhs_weap_9m120_launcher,rhs_mag_9m120m_mi28_8x,1,[63.3333]
ZT3 Ingwe,ZT3,4,270,26,3.6,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,,,,80,115,0,-2e-05,0.03,5000,BEAMRIDER,1.72|09.20|28.75,['756.00|4032.00|12600.00'],172,10,250,18,1,1,,45,['Direct'],rhs_weap_zt3_launcher,rhs_mag_zt3_4,1,[56]
ZT-6 Mokopa,ZT6,4,400,35,8,[310],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,,,,0,270,0,0.1,0.3,10000,,4.05|21.60|67.50,['900.00|4800.00|15000.01'],300,4.1,530,18,1,1,,45,['Direct'],rhs_weap_zt6_launcher,rhs_mag_zt6_4,1,[66.6667]
2A70,3UOF191,22,180,40,20,[180],[40],[34],,,HE,player,5.5,0.00275,355,355,0,-1e-05,1,350,,31.95|170.40|532.50,['31.95|170.40|532.50'],210,1.5,0,1,1,1,,,,rhs_weap_2a70,rhs_mag_3uof191_22,6,[6]
2A70,9M117M1,8,240,20,4.2,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",TandemHEAT,player,5.5,0.00275,80,300,0,0.035,0.1,5500,BEAMRIDER,4.50|24.00|75.00,['585.00|3120.00|9749.99'],222,7,380,17,0.3,1,,20,['Direct'],rhs_weap_2a70,rhs_mag_9m117m1_8,1,[43.3333]
