Name,Cartridge,Capacity,Damage,Fire Modes,RPM,Dispersion,Time To Live,Initial Speed,Typical Speed,weaponInitialSpeed,Air Resistance,RHA Penetration,Concrete Penetration,Meat Penetration,Damage at 100m,Damage at 200m,Damage at 300m,Damage at 400m,Damage at 500m,Damage at 1000m,Damage at 1500m,Damage at 2000m,Weapon Class,Magazine Class,Weapon Mass,Magazine Mass,Mass per Ammo,Caliber
MG42,rhs_ammo_792x57_Ball,50,10.613,manual,1200.0,0.0008000,6,770,838,0,0.00068140,05.20,27.72,86.62,9.109,8.509,7.949,7.425,6.936,4.933,3.509,2.496,rhs_weap_mg42,rhsgref_50rnd_792x57_sme_drum,254.5,17.8,0.356,0.45
Mk 18 Mod 1,Mk262,30,9.248,single|fullauto,0800.0,0.0005818,6,752.6197800000001,838.2,-0.8979,0.00066000,07.64,40.76,127.38,7.774,7.277,6.812,6.377,5.970,4.292,3.086,2.218,rhs_weap_mk18,rhs_mag_30rnd_556x45_mk262_stanag,54.56,9.35,0.312,0.677
Mosin SBR,rhs_B_762x54_Ball,5,10.261,single,0037.5,0.0005818,6,740.7,828,-0.9,0.00109220,03.79,20.22,63.17,8.229,7.378,6.614,5.930,5.316,3.079,1.784,1.033,rhs_weap_mosin_sbr,rhsgref_5rnd_762x54_m38,74.8,2.64,0.528,0.341151
MP44,rhs_ammo_792x33_SmE_ball,30,7.500,single|fullauto,0580.0,0.0013090,6,685,685,0,0.00101000,04.52,24.11,75.35,6.779,6.128,5.539,5.007,4.526,2.732,1.649,0.995,rhs_weap_mp44,rhsgref_30rnd_792x33_sme_stg,101.2,11.66,0.389,0.44
Sa vz. 61,rhs_ammo_9x17,20,5.070,single|fullauto,0800.0,0.0029090,6,280,272,280,0.00176715,03.52,18.77,58.66,4.374,3.665,3.072,2.574,2.157,0.892,0.368,0.152,rhs_weap_savz61,rhsgref_20rnd_765x17_vz61,28.16,5.5,0.275,0.838
SCAR-H (STD),M80 Ball,20,10.944,single|fullauto,0600.0,"['0.0004400', '0.0014700']",6,794,838,-1,0.00068140,05.36,28.58,89.33,9.686,9.048,8.452,7.895,7.375,5.246,3.731,2.654,rhs_weap_scarh_std,rhs_mag_20rnd_scar_762x51_m80_ball,78.76,16.24,0.812,0.45
Mk 11 Mod 0,M118 Ball,20,11.550,single,0625.0,0.0002800,6,805,805,0,0.00074740,06.28,33.49,104.65,10.718,9.946,9.230,8.565,7.949,5.470,3.764,2.591,rhs_weap_sr25,rhsusf_20rnd_762x51_m118_special_mag,94.82,16.24,0.812,0.52
Type 94 Nambu,rhs_ammo_8mm_mhp,6,3.313,single,0600.0,0.0043500,6,280,290,-1,0.00180000,02.24,11.95,37.33,2.672,2.232,1.864,1.557,1.301,0.529,0.215,0.087,rhs_weap_type94_new,rhs_mag_6x8mm_mhp,18.26,8,1.333,0.533333
M2010 ESR,.300 Win Mag,5,18.500,single,0037.5,0.0002909,6,869,869,0,0.00070340,10.30,54.92,171.63,17.243,16.072,14.981,13.963,13.015,9.156,6.441,4.531,rhs_weap_xm2010,rhsusf_5rnd_300winmag_xm2010,121,1.56,0.312,0.79
Glock 17,9mm JHP Mag,17,6.248,single,0500.0,0.0029000,6,271.62,301.8,-0.9,0.00109500,01.69,09.02,28.18,5.040,4.518,4.049,3.629,3.253,1.881,1.088,0.629,rhsusf_weap_glock17g4,rhsusf_mag_17rnd_9x19_jhp,13.75,6,0.353,0.415
M1911A1,rhs_ammo_45ACP_MHP,7,5.147,single,0400.0,0.0029000,6,280,280,-1,0.00180000,11.26,60.05,187.67,4.299,3.591,2.999,2.505,2.093,0.851,0.346,0.141,rhsusf_weap_m1911a1,rhsusf_mag_7x45acp_mhp,20.9,5.28,0.754,2.68097
M9 Beretta,9mm JHP Mag,15,6.596,single,0500.0,0.0029000,6,286.71,301.8,-0.95,0.00109500,01.78,09.52,29.75,5.616,5.033,4.511,4.043,3.624,2.096,1.212,0.701,rhsusf_weap_m9,rhsusf_mag_15rnd_9x19_jhp,20.9,6,0.4,0.415
MP7A2,rhs_ammo_46x30_JHP,40,6.556,single|fullauto,0950.0,0.0020300,6,620,699.821,-1,0.00348301,04.32,23.01,71.92,4.100,2.894,2.043,1.442,1.018,0.178,0.031,0.005,rhsusf_weap_mp7a2,rhsusf_mag_40rnd_46x30_jhp,24.2,8.8,0.22,0.464
