Name,Cartridge,Capacity,Damage,Indirect Damage,Indirect Range,Submunition Damage,Submunition Indirect Damage,Submunition Indirect Range,Submunition,Sub-Submunition,Submunition Cone,Warhead,Submunition Warhead,Fire Modes,RPM,Dispersion,Time To Live,Initial Speed,Typical Speed,weaponInitialSpeed,Air Resistance,Side Air Resistance,Control Range,RHS Guide Mode,RHS Saclos,RHS Ballistic Mode,RHA Penetration (mm),Concrete Penetration (mm),Meat Penetration (mm),Submunition RHA Penetration (mm),Submunition Concrete Penetration (mm),Submunition Meat Penetration (mm),Thrust,Thrust Time,Max speed,Manoeuvrability,Track Oversteer,Track Lead,Control Cone,Flight Profiles,Damage at 100m,Damage at 500m,Damage at 1000m,Damage at 1500m,Damage at 2000m,Damage at 3000m,Damage at 4000m,Damage at 5000m,Weapon Class,Magazine Class,Caliber,Submunition Caliber,Sub-submunition Caliber
2A42,3UBR8,120,90.000,0,0,[],[],[],[],[],,AP,,lowrofbmd2|highrofbmd2,"['0300.0', '0600.0']","['0.0009375', '0.0032500']",25,1120,1120,0,-0.00056000,1,350,,0,0,66.00,352.00,1100.00,0,0,0,210,1.5,0,1,1,1,0,[],85.099,68.021,51.409,38.854,29.365,16.774,9.581,5.473,rhs_weap_2a42,rhs_mag_3ubr8_120,3.92857,[],[]
NSVT,12.7x108mm,150,24.909,0,0,[],[],[],[],[],,,,manual,697.67,0.0020000,25,817,820,0,-0.00086000,1,350,,0,0,34.31,183.01,571.90,0,0,0,210,1.5,0,1,1,1,0,[],22.772,16.144,10.502,6.832,4.444,1.881,0.796,0.337,rhs_weap_nsvt_t90m_RWS,rhs_mag_127x108mm_150,2.8,[],[]
M2 HMG .50,M2 Ball,100,30.000,0,0,[],[],[],[],[],,,,manual,0600.0,0.0014400,10,880,880,0,-0.00086000,1,350,,0,0,31.00,165.33,516.67,0,0,0,210,1.5,0,1,1,1,0,[],27.528,19.515,12.695,8.258,5.372,2.273,0.962,0.407,RHS_M2_Abrams_Commander,rhs_mag_100rnd_127x99_mag_Tracer_Red,2.34848,[],[]
2A42,3UBR8,160,90.000,0,0,[],[],[],[],[],,AP,,lowrofbmd2|highrofbmd2,"['0300.0', '0600.0']","['0.0009375', '0.0032500']",25,1120,1120,0,-0.00056000,1,350,,0,0,66.00,352.00,1100.00,0,0,0,210,1.5,0,1,1,1,0,[],85.099,68.021,51.409,38.854,29.365,16.774,9.581,5.473,rhs_weap_2a42,rhs_mag_3ubr8_160,3.92857,[],[]
2A42,3UOF8,125,50.000,33,4,[],[],[],[],[],,HE,,lowrofbmd2|highrofbmd2,"['0300.0', '0600.0']","['0.0009375', '0.0032500']",15,960,960,0,-0.00020000,1,350,,0,0,20.02,106.75,333.60,0,0,0,210,1.5,0,1,1,1,0,[],49.604,48.097,46.375,44.816,43.406,40.976,38.987,37.358,rhs_weap_2a42,rhs_mag_3uof8_125,1.39,[],[]
2A42,3UOF8,180,50.000,33,4,[],[],[],[],[],,HE,,lowrofbmd2|highrofbmd2,"['0300.0', '0600.0']","['0.0009375', '0.0032500']",15,960,960,0,-0.00020000,1,350,,0,0,20.02,106.75,333.60,0,0,0,210,1.5,0,1,1,1,0,[],49.604,48.097,46.375,44.816,43.406,40.976,38.987,37.358,rhs_weap_2a42,rhs_mag_3uof8_180,1.39,[],[]
2A42,3UOF8,340,50.000,33,4,[],[],[],[],[],,HE,,lowrofbmd2|highrofbmd2,"['0300.0', '0600.0']","['0.0009375', '0.0032500']",15,960,960,0,-0.00020000,1,350,,0,0,20.02,106.75,333.60,0,0,0,210,1.5,0,1,1,1,0,[],49.604,48.097,46.375,44.816,43.406,40.976,38.987,37.358,rhs_weap_2a42,rhs_mag_3uof8_340,1.39,[],[]
2A46-2,3BK18M,8,215.000,20,3.6,[290],[0],[0],['rhs_ammo_3bk18m_penetrator'],['rhs_ammo_spall'],,,HEATHEAT,player,0010.0,0.0005700,15,905,905,0,-0.00003960,1,350,,0,0,06.79,36.20,113.12,579.15,3088.80,9652.51,210,1.5,0,1,1,1,0,[],214.490,212.471,209.991,207.561,205.177,200.550,196.103,191.828,rhs_weap_2a46_2,rhs_mag_3bk18m_8,0.5,[36.6667],[10]
2A46-2,3BM22,14,250.000,40,0.5,[200],[11],[0.35],['rhs_ammo_3bm22_penetrator'],['rhs_ammo_spall'],,,APAP,player,0010.0,0.0005700,15,1760,1700,0,-0.00003960,1,350,,0,0,02.64,14.08,44.00,380.00,2026.66,6333.32,210,1.5,0,1,1,1,0,[],250.000,250.000,248.774,243.897,239.115,229.832,220.908,212.331,rhs_weap_2a46_2,rhs_mag_3bm22_14,0.1,[14.3939],[10]
2A46-2,3OF26,6,200.000,100,15,[],[],[],[],[],,HE,,player,0010.0,0.0005700,15,850,850,0,-0.00020000,1,350,,0,0,63.75,340.00,1062.50,0,0,0,210,1.5,0,1,1,1,0,[],198.812,194.290,189.124,184.449,180.219,172.929,166.960,162.073,rhs_weap_2a46_2,rhs_mag_3of26_6,5,[],[]
2A46M-4,3BK31,8,233.459,20,3.6,[290],[0],[0],['rhs_ammo_3bk31_penetrator'],['rhs_ammo_spall'],,,TandemHEATTandemHEAT,player,0010.0,0.0005700,15,905,915,0,-0.00003960,1,350,,0,0,06.79,36.20,113.12,895.05,4773.60,14917.51,210,1.5,0,1,1,1,0,[],231.390,229.231,226.579,223.980,221.432,216.484,211.729,207.158,rhs_weap_2a46m_4,rhs_mag_3bk31_8,0.5,[56.6667],[10]
2A46M-4,3BM46,10,250.000,40,0.5,[300],[11],[0.35],['rhs_ammo_3bm46_penetrator'],['rhs_ammo_spall'],,,APAP,player,0010.0,0.0005700,15,1700,1700,0,-0.00003200,1,350,,0,0,02.55,13.60,42.50,681.00,3632.00,11350.01,210,1.5,0,1,1,1,0,[],249.201,246.032,242.127,238.283,234.501,227.116,219.963,213.036,rhs_weap_2a46m_4,rhs_mag_3bm46_10,0.1,[26.7059],[10]
2A46M-4,3OF26,6,200.000,100,15,[],[],[],[],[],,HE,,player,0010.0,0.0005700,15,850,850,0,-0.00020000,1,350,,0,0,63.75,340.00,1062.50,0,0,0,210,1.5,0,1,1,1,0,[],198.812,194.290,189.124,184.449,180.219,172.929,166.960,162.073,rhs_weap_2a46m_4,rhs_mag_3of26_6,5,[],[]
2A46M-4,9M119,4,240.000,20,4.2,[250],[0],[0],['rhs_ammo_9m119_penetrator'],['rhs_ammo_spall'],,,HEATHEAT,player,0010.0,0.0005700,30,125,120,0,0.08500000,0.1,5000,BEAMRIDER,1,1,01.88,10.00,31.25,737.10,3931.20,12285.01,112,6,420,9,0.3,0.3,50,['Direct'],240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,rhs_weap_2a46m_4,rhs_mag_9m119_4,1,[46.6667],[10]
2A46M-5,3BK31,3,233.459,20,3.6,[290],[0],[0],['rhs_ammo_3bk31_penetrator'],['rhs_ammo_spall'],,,TandemHEATTandemHEAT,player,0010.0,0.0005700,15,905,915,0,-0.00003960,1,350,,0,0,06.79,36.20,113.12,895.05,4773.60,14917.51,210,1.5,0,1,1,1,0,[],231.390,229.231,226.579,223.980,221.432,216.484,211.729,207.158,rhs_weap_2a46m_5,rhs_mag_3bk31_3,0.5,[56.6667],[10]
2A46M-5,3BM46,8,250.000,40,0.5,[300],[11],[0.35],['rhs_ammo_3bm46_penetrator'],['rhs_ammo_spall'],,,APAP,player,0010.0,0.0005700,15,1700,1700,0,-0.00003200,1,350,,0,0,02.55,13.60,42.50,681.00,3632.00,11350.01,210,1.5,0,1,1,1,0,[],249.201,246.032,242.127,238.283,234.501,227.116,219.963,213.036,rhs_weap_2a46m_5,rhs_mag_3bm46_8,0.1,[26.7059],[10]
2A46M-5,3OF26,7,200.000,100,15,[],[],[],[],[],,HE,,player,0010.0,0.0005700,15,850,850,0,-0.00020000,1,350,,0,0,63.75,340.00,1062.50,0,0,0,210,1.5,0,1,1,1,0,[],198.812,194.290,189.124,184.449,180.219,172.929,166.960,162.073,rhs_weap_2a46m_5,rhs_mag_3of26_7,5,[],[]
2A46M-5,3BM59,10,250.000,40,0.5,[300],[11],[0.35],['rhs_ammo_3bm59_penetrator'],['rhs_ammo_spall'],,,APAP,player,0010.0,0.0005700,15,1700,1700,0,-0.00003200,1,350,,0,0,02.55,13.60,42.50,780.00,4160.00,12999.99,210,1.5,0,1,1,1,0,[],249.201,246.032,242.127,238.283,234.501,227.116,219.963,213.036,rhs_weap_2a46m_5,rhs_mag_3bm59_10,0.1,[30.5882],[10]
2A46M-5,9M119,4,240.000,20,4.2,[250],[0],[0],['rhs_ammo_9m119_penetrator'],['rhs_ammo_spall'],,,HEATHEAT,player,0010.0,0.0005700,30,125,120,0,0.08500000,0.1,5000,BEAMRIDER,1,1,01.88,10.00,31.25,737.10,3931.20,12285.01,112,6,420,9,0.3,0.3,50,['Direct'],240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,rhs_weap_2a46m_5,rhs_mag_9m119_4,1,[46.6667],[10]
2A46M,3BK18M,6,215.000,20,3.6,[290],[0],[0],['rhs_ammo_3bk18m_penetrator'],['rhs_ammo_spall'],,,HEATHEAT,player,0010.0,0.0005700,15,905,905,0,-0.00003960,1,350,,0,0,06.79,36.20,113.12,579.15,3088.80,9652.51,210,1.5,0,1,1,1,0,[],214.490,212.471,209.991,207.561,205.177,200.550,196.103,191.828,rhs_weap_2a46m,rhs_mag_3bk18m_6,0.5,[36.6667],[10]
2A46M,3BM42,7,250.000,40,0.5,[250],[11],[0.35],['rhs_ammo_3bm42_penetrator'],['rhs_ammo_spall'],,,APAP,player,0010.0,0.0005700,15,1700,1700,0,-0.00003960,1,350,,0,0,02.55,13.60,42.50,490.00,2613.34,8166.67,210,1.5,0,1,1,1,0,[],249.012,245.099,240.293,235.582,230.964,221.996,213.377,205.092,rhs_weap_2a46m,rhs_mag_3bm42_7,0.1,[19.2157],[10]
2A46M,3OF26,5,200.000,100,15,[],[],[],[],[],,HE,,player,0010.0,0.0005700,15,850,850,0,-0.00020000,1,350,,0,0,63.75,340.00,1062.50,0,0,0,210,1.5,0,1,1,1,0,[],198.812,194.290,189.124,184.449,180.219,172.929,166.960,162.073,rhs_weap_2a46m,rhs_mag_3of26_5,5,[],[]
2A46M,9M119,4,240.000,20,4.2,[250],[0],[0],['rhs_ammo_9m119_penetrator'],['rhs_ammo_spall'],,,HEATHEAT,player,0010.0,0.0005700,30,125,120,0,0.08500000,0.1,5000,BEAMRIDER,1,1,01.88,10.00,31.25,737.10,3931.20,12285.01,112,6,420,9,0.3,0.3,50,['Direct'],240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,rhs_weap_2a46m,rhs_mag_9m119_4,1,[46.6667],[10]
2A70,3UOF17,22,210.000,50,12,[],[],[],[],[],,HE,,player,010.91,0.0027500,35,250,250,0,-0.00001000,1,350,,0,0,22.50,120.00,375.00,0,0,0,210,1.5,0,1,1,1,0,[],209.958,209.791,209.582,209.375,209.168,208.759,208.353,207.952,rhs_weap_2a70,rhs_mag_3uof17_22,6,[],[]
2A70,3UOF191,22,180.000,40,20,[180],[40],[34],['rhs_ammo_3UOF191_airburst'],[],poissondisc,,HEHE,player,010.91,0.0027500,35,355,355,0,-0.00001000,1,350,,0,0,31.95,170.40,532.50,00.00,00.00,00.00,210,1.5,0,1,1,1,0,[],180.036,180.180,180.358,180.536,180.713,181.064,181.412,181.756,rhs_weap_2a70,rhs_mag_3uof191_22,6,[6],[0]
2A70,9M117,8,240.000,20,4.2,[290],[0],[0],['rhs_ammo_9m117_penetrator'],['rhs_ammo_spall'],,,HEATHEAT,player,010.91,0.0027500,30,80,300,0,0.10000000,0.1,4000,BEAMRIDER,1,1,01.20,06.40,20.00,631.80,3369.60,10530.00,122,6,380,17,0.3,1,20,['Direct'],240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,rhs_weap_2a70,rhs_mag_9m117_8,1,[40],[10]
2A70,9M117M,8,240.000,20,4.2,[290],[0],[0],['rhs_ammo_9m117m_penetrator'],['rhs_ammo_spall'],,,TandemHEATTandemHEAT,player,010.91,0.0027500,30,80,300,0,0.03500000,0.1,5500,BEAMRIDER,1,1,01.20,06.40,20.00,684.45,3650.40,11407.49,222,7,380,17,0.3,1,20,['Direct'],240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,rhs_weap_2a70,rhs_mag_9m117m_8,1,[43.3333],[10]
2A70,9M117M1,8,240.000,20,4.2,[290],[0],[0],['rhs_ammo_9m117m_penetrator'],['rhs_ammo_spall'],,,TandemHEATTandemHEAT,player,010.91,0.0027500,30,80,300,0,0.03500000,0.1,5500,BEAMRIDER,1,1,01.20,06.40,20.00,684.45,3650.40,11407.49,222,7,380,17,0.3,1,20,['Direct'],240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,rhs_weap_2a70,rhs_mag_9m117m1_8,1,[43.3333],[10]
2A72,3UBR11,150,95.000,0,0,[],[],[],[],[],,AP,,lowrofbmd2|highrofbmd2,"['0300.0', '0330.0']",0.0007143,25,1120,1120,0,-0.00056000,1,350,,0,0,92.00,490.67,1533.33,0,0,0,210,1.5,0,1,1,1,0,[],89.826,71.799,54.265,41.012,30.997,17.706,10.114,5.777,rhs_weap_2a72_btr,rhs_mag_3ubr11_150,5.47619,[],[]
2A72,3UOF8,150,50.000,33,4,[],[],[],[],[],,HE,,lowrofbmd2|highrofbmd2,"['0300.0', '0330.0']",0.0007143,15,960,960,0,-0.00020000,1,350,,0,0,20.02,106.75,333.60,0,0,0,210,1.5,0,1,1,1,0,[],49.604,48.097,46.375,44.816,43.406,40.976,38.987,37.358,rhs_weap_2a72_btr,rhs_mag_3uof8_150,1.39,[],[]
2A72,3UBR11,227,95.000,0,0,[],[],[],[],[],,AP,,lowrofbmd2|highrofbmd2,"['0300.0', '0330.0']",0.0007143,25,1120,1120,0,-0.00056000,1,350,,0,0,92.00,490.67,1533.33,0,0,0,210,1.5,0,1,1,1,0,[],89.826,71.799,54.265,41.012,30.997,17.706,10.114,5.777,rhs_weap_2a72,rhs_mag_3ubr11_227,5.47619,[],[]
2A72,3UBR6,195,60.000,0,0,[],[],[],[],[],,AP,,lowrofbmd2|highrofbmd2,"['0300.0', '0330.0']",0.0007143,25,1120,1120,0,-0.00056000,1,350,,0,0,63.51,338.69,1058.42,0,0,0,210,1.5,0,1,1,1,0,[],56.732,45.347,34.273,25.903,19.577,11.182,6.388,3.649,rhs_weap_2a72,rhs_mag_3ubr6_195,3.78007,[],[]
2A72,3UOF8,237,50.000,33,4,[],[],[],[],[],,HE,,lowrofbmd2|highrofbmd2,"['0300.0', '0330.0']",0.0007143,15,960,960,0,-0.00020000,1,350,,0,0,20.02,106.75,333.60,0,0,0,210,1.5,0,1,1,1,0,[],49.604,48.097,46.375,44.816,43.406,40.976,38.987,37.358,rhs_weap_2a72,rhs_mag_3uof8_237,1.39,[],[]
2A72,3UOF8,305,50.000,33,4,[],[],[],[],[],,HE,,lowrofbmd2|highrofbmd2,"['0300.0', '0330.0']",0.0007143,15,960,960,0,-0.00020000,1,350,,0,0,20.02,106.75,333.60,0,0,0,210,1.5,0,1,1,1,0,[],49.604,48.097,46.375,44.816,43.406,40.976,38.987,37.358,rhs_weap_2a72,rhs_mag_3uof8_305,1.39,[],[]
2A75,3BK29,8,228.492,20,3.6,[290],[0],[0],['rhs_ammo_3bk29_penetrator'],['rhs_ammo_spall'],,,HEATHEAT,player,0008.0,0.0006500,15,905,915,0,-0.00003960,1,350,,0,0,06.79,36.20,113.12,842.40,4492.80,14039.99,210,1.5,0,1,1,1,0,[],226.467,224.353,221.759,219.215,216.721,211.878,207.224,202.750,rhs_weap_2a75,rhs_mag_3bk29_8,0.5,[53.3333],[10]
2A75,3BM46,10,250.000,40,0.5,[300],[11],[0.35],['rhs_ammo_3bm46_penetrator'],['rhs_ammo_spall'],,,APAP,player,0008.0,0.0006500,15,1700,1700,0,-0.00003200,1,350,,0,0,02.55,13.60,42.50,681.00,3632.00,11350.01,210,1.5,0,1,1,1,0,[],249.201,246.032,242.127,238.283,234.501,227.116,219.963,213.036,rhs_weap_2a75,rhs_mag_3bm46_10,0.1,[26.7059],[10]
2A75,3OF26,6,200.000,100,15,[],[],[],[],[],,HE,,player,0008.0,0.0006500,15,850,850,0,-0.00020000,1,350,,0,0,63.75,340.00,1062.50,0,0,0,210,1.5,0,1,1,1,0,[],198.812,194.290,189.124,184.449,180.219,172.929,166.960,162.073,rhs_weap_2a75,rhs_mag_3of26_6,5,[],[]
2A75,9M119,6,240.000,20,4.2,[250],[0],[0],['rhs_ammo_9m119_penetrator'],['rhs_ammo_spall'],,,HEATHEAT,player,0008.0,0.0006500,30,125,120,0,0.08500000,0.1,5000,BEAMRIDER,1,1,01.88,10.00,31.25,737.10,3931.20,12285.01,112,6,420,9,0.3,0.3,50,['Direct'],240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,rhs_weap_2a75,rhs_mag_9m119_6,1,[46.6667],[10]
9K11,9M14M,1,240.000,20,4.2,[290],[0],[0],['rhs_ammo_9m14m_penetrator'],['rhs_ammo_spall'],,,HEATHEAT,,3,[],26,80,115,0,-0.00002000,0.14,3000,,0,0,01.20,06.40,20.00,421.20,2246.40,7020.01,100,2.5,115,4,0.3,0.85,30,['Direct'],240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,rhs_weap_9k11,rhs_mag_9m14m,1,[26.6667],[10]
9K121M,9M127M,6,350.000,86,9.6,[290],[0],[0],['rhs_ammo_9m127_penetrator'],['rhs_ammo_spall'],,,TandemHEATTandemHEAT,single|burst,1200.0,0.0020000,25,0,115,0,0.07500000,0.3,10000,BEAMRIDER,2,0,00.00,00.00,00.00,1105.65,5896.80,18427.50,342,3,600,16,1,1,50,['Direct'],350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,rhs_weap_9k121_launcher,rhs_mag_apu6_9m127m_ka52,1,[70],[10]
9K133,9M133,2,240.000,18,4.5,[290],[0],[0],['rhs_ammo_9m133_penetrator'],['rhs_ammo_spall'],,,TandemHEATTandemHEAT,,0.1,[],30,100,120,0,0.13000000,0.1,5000,BEAMRIDER,1,1,01.50,08.00,25.00,1053.00,5616.00,17550.01,152,3,300,9,0.3,1,20,['Direct'],240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,rhs_weap_9k133,rhs_mag_9m133_2,1,[66.6667],[10]
9M113,9M113M,1,240.000,20,4.2,[290],[0],[0],['rhs_ammo_9m113m_penetrator'],['rhs_ammo_spall'],,,TandemHEATTandemHEAT,,30,[],20,80,900,0,-0.00002000,0.05,4000,WIRE,1,0,01.20,06.40,20.00,789.75,4212.00,13162.50,200,1.5,200,14,0.6,0.6,60,['Direct'],240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,rhs_weap_9m113,rhs_mag_9m113m,1,[50],[10]
9M120,9M120M,2,350.000,26,4.6,[290],[0],[0],['rhs_ammo_9m120m_penetrator'],['rhs_ammo_spall'],,,TandemHEATTandemHEAT,,1,[],25,55,115,0,-0.00002000,0.3,8000,RADIO,2,0,00.82,04.40,13.75,1000.35,5335.20,16672.49,172,3.5,550,13,1,0,50,['Direct'],350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,rhs_weap_9m120_launcher,rhs_mag_9m120m_mi24_2x,1,[63.3333],[10]
9M120,9M120M,8,350.000,26,4.6,[290],[0],[0],['rhs_ammo_9m120m_penetrator'],['rhs_ammo_spall'],,,TandemHEATTandemHEAT,,1,[],25,55,115,0,-0.00002000,0.3,8000,RADIO,2,0,00.82,04.40,13.75,1000.35,5335.20,16672.49,172,3.5,550,13,1,0,50,['Direct'],350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,rhs_weap_9m120_launcher,rhs_mag_9m120m_mi28_8x,1,[63.3333],[10]
9M111,9M113,5,240.000,20,4.2,[290],[0],[0],['rhs_ammo_9m113_penetrator'],['rhs_ammo_spall'],,,HEATHEAT,,1.5,[],20,80,900,0,-0.00002000,0.05,4000,WIRE,1,0,01.20,06.40,20.00,631.80,3369.60,10530.00,200,1.5,200,14,0.6,0.6,60,['Direct'],240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,rhs_weap_9p148,rhs_mag_9m113_5,1,[40],[10]
AGS-30,VOG30,30,40.000,7,4.174,[80],[8],[6],['rhs_ammo_VOG30_explosion'],[],randomcenter,,HEHE,manual,0400.0,0.0050000,26,185,185,0,-0.00100000,1,350,,0,0,05.55,29.60,92.50,00.00,00.00,00.00,210,1.5,0,1,1,1,0,[],40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,rhs_weap_ags30,rhs_mag_vog30_30,2,[2],[0]
AZP-23,RHS_ammo_23mm_AA_mixed,2000,0.000,0,8,"[80, 60]","[1, 40]","[0.3, 1.8]","['rhs_ammo_bzt_23x115mm', 'rhs_ammo_ofz_23x115mm']",[],,,AP|HE,manual,2500.0,0.0050000,180,980,900,0,-0.00047100,1,350,,0,0,14.70,78.40,245.00,00.00,00.00,00.00,210,1.5,0,1,1,1,0,[],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,rhs_weap_azp23,rhs_mag_azp23_2000_mixed,1,"[3.65854, 1.11]","[0, 0]"
AZP-23,RHS_ammo_23mm_AA_mixed,2000,0.000,0,8,"[80, 60]","[1, 40]","[0.3, 1.8]","['rhs_ammo_bzt_23x115mm', 'rhs_ammo_ofz_23x115mm']",[],,,AP|HE,manual,2500.0,0.0050000,180,980,900,0,-0.00047100,1,350,,0,0,14.70,78.40,245.00,00.00,00.00,00.00,210,1.5,0,1,1,1,0,[],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,rhs_weap_azp23,rhs_mag_azp23_2000_mixed,1,"[3.65854, 1.11]","[0, 0]"
AZP-23,RHS_ammo_23mm_AA,2000,60.000,40,1.8,[],[],[],[],[],,HE,,manual,2500.0,0.0050000,14,980,960,0,-0.00047100,1,350,,0,0,16.32,87.02,271.95,0,0,0,210,1.5,0,1,1,1,0,[],59.373,55.359,51.297,48.088,45.551,41.964,39.724,38.325,rhs_weap_azp23,rhs_mag_azp23_2000,1.11,[],[]
DAGR,SALH,8,220.000,50,10,[],[],[],[],[],,,,direct|loaldistance,0600.0,0.0002000,20,0,900,0,0.10000000,0.3,8000,,0,0,00.00,00.00,00.00,0,0,0,825,1.57,720,14,1,1,0,"['Direct', 'LoalDistance']",220.000,220.000,220.000,220.000,220.000,220.000,220.000,220.000,rhs_weap_dagr_launcher,rhs_mag_dagr_8,1,[],[]
